year;city;avg_temp
1750;Rome;12.53
1750;Milan;7.51
1751;Milan;7.77
1751;Rome;12.99
1752;Milan;2.65
1752;Rome;7.68
1753;Milan;6.83
1753;Rome;11.96
1754;Rome;11.79
1754;Milan;6.53
1755;Rome;11.57
1755;Milan;6.27
1756;Milan;6.61
1756;Rome;12.13
1757;Milan;6.30
1757;Rome;11.80
1758;Milan;5.97
1758;Rome;11.02
1759;Milan;7.14
1759;Rome;12.12
1760;Milan;7.15
1760;Rome;11.94
1761;Rome;12.21
1761;Milan;6.99
1762;Rome;11.99
1762;Milan;6.69
1763;Milan;6.48
1763;Rome;11.54
1764;Rome;12.18
1764;Milan;6.93
1765;Milan;6.73
1765;Rome;12.02
1766;Milan;6.54
1766;Rome;11.86
1767;Rome;11.35
1767;Milan;6.15
1768;Milan;6.23
1768;Rome;10.97
1769;Rome;11.79
1769;Milan;6.67
1770;Milan;6.56
1770;Rome;11.76
1771;Rome;11.89
1771;Milan;6.79
1772;Rome;13.32
1772;Milan;8.13
1773;Milan;6.65
1773;Rome;11.87
1774;Milan;6.57
1774;Rome;11.97
1775;Rome;12.36
1775;Milan;7.18
1776;Rome;11.59
1776;Milan;6.62
1777;Milan;6.33
1777;Rome;11.50
1778;Rome;12.43
1778;Milan;7.16
1779;Rome;12.57
1779;Milan;7.55
1780;Milan;7.09
1780;Rome;12.31
1781;Milan;7.57
1781;Rome;12.49
1782;Rome;11.46
1782;Milan;6.11
1783;Milan;7.27
1783;Rome;12.18
1784;Milan;6.26
1784;Rome;11.61
1785;Rome;11.36
1785;Milan;6.26
1786;Rome;11.51
1786;Milan;6.34
1787;Rome;12.15
1787;Milan;7.05
1788;Rome;12.40
1788;Milan;7.24
1789;Milan;6.28
1789;Rome;11.62
1790;Rome;12.22
1790;Milan;7.15
1791;Rome;12.41
1791;Milan;7.30
1792;Rome;11.97
1792;Milan;6.91
1793;Rome;11.85
1793;Milan;7.08
1794;Milan;7.57
1794;Rome;12.42
1795;Rome;11.76
1795;Milan;6.53
1796;Rome;12.05
1796;Milan;6.79
1797;Rome;12.51
1797;Milan;7.18
1798;Rome;12.20
1798;Milan;6.88
1799;Rome;11.29
1799;Milan;5.65
1800;Milan;7.17
1800;Rome;12.41
1801;Rome;12.64
1801;Milan;7.21
1802;Rome;12.75
1802;Milan;7.53
1803;Rome;11.71
1803;Milan;6.62
1804;Milan;7.08
1804;Rome;12.22
1805;Rome;10.91
1805;Milan;5.50
1806;Milan;7.20
1806;Rome;12.11
1807;Milan;6.95
1807;Rome;12.29
1808;Rome;10.73
1808;Milan;5.57
1809;Rome;11.46
1809;Milan;6.36
1810;Milan;6.59
1810;Rome;11.83
1811;Milan;7.59
1811;Rome;12.47
1812;Rome;10.95
1812;Milan;5.42
1813;Milan;6.27
1813;Rome;11.38
1814;Milan;5.57
1814;Rome;10.76
1815;Milan;6.45
1815;Rome;11.25
1816;Milan;5.20
1816;Rome;10.59
1817;Rome;11.56
1817;Milan;6.51
1818;Rome;11.86
1818;Milan;6.95
1819;Rome;11.87
1819;Milan;7.00
1820;Rome;11.91
1820;Milan;6.36
1821;Milan;6.65
1821;Rome;11.64
1822;Rome;12.75
1822;Milan;8.01
1823;Rome;11.52
1823;Milan;6.31
1824;Rome;12.04
1824;Milan;6.97
1825;Milan;7.28
1825;Rome;11.88
1826;Rome;11.75
1826;Milan;6.78
1827;Milan;6.54
1827;Rome;11.86
1828;Milan;7.43
1828;Rome;12.26
1829;Rome;10.97
1829;Milan;5.44
1830;Rome;11.76
1830;Milan;6.39
1831;Rome;11.95
1831;Milan;6.83
1832;Rome;11.38
1832;Milan;6.51
1833;Rome;11.43
1833;Milan;6.77
1834;Rome;12.27
1834;Milan;7.59
1835;Milan;6.18
1835;Rome;10.90
1836;Rome;11.41
1836;Milan;6.15
1837;Milan;5.81
1837;Rome;10.76
1838;Milan;5.72
1838;Rome;11.17
1839;Milan;6.85
1839;Rome;11.86
1840;Milan;6.19
1840;Rome;11.46
1841;Milan;6.87
1841;Rome;12.61
1842;Rome;11.42
1842;Milan;6.19
1843;Milan;6.44
1843;Rome;11.69
1844;Milan;6.38
1844;Rome;11.67
1845;Rome;11.74
1845;Milan;6.19
1846;Milan;7.46
1846;Rome;12.81
1847;Rome;11.50
1847;Milan;6.24
1848;Milan;6.46
1848;Rome;11.89
1849;Milan;6.77
1849;Rome;11.69
1850;Rome;10.99
1850;Milan;5.88
1851;Rome;11.19
1851;Milan;5.85
1852;Rome;12.01
1852;Milan;6.81
1853;Rome;11.63
1853;Milan;5.79
1854;Rome;11.24
1854;Milan;6.36
1855;Milan;5.68
1855;Rome;11.44
1856;Milan;6.52
1856;Rome;11.65
1857;Milan;6.53
1857;Rome;11.44
1858;Rome;11.06
1858;Milan;5.78
1859;Milan;7.00
1859;Rome;11.92
